,ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at,ASN
0,8.8.8.8,dns.google.,US,,,,True,1.0,2019-07-05T06:53:42Z,2009-12-04T10:01:47Z,15169
2,208.79.56.204,dns2.295.ca.,CA,Mississauga,Go Away,,False,1.0,2019-07-05T06:53:45Z,2009-05-15T12:50:00Z,36493
3,66.163.0.173,66-163-0-173.ip.tor.radiant.net.,CA,Gatineau,9.7.0-P2-RedHat-9.7.0-21.P2.el5_11.10,,False,0.83,2019-07-05T06:53:43Z,2009-05-15T12:50:22Z,21724
4,66.163.0.161,66-163-0-161.ip.tor.radiant.net.,CA,Gatineau,9.7.0-P2-RedHat-9.7.0-21.P2.el5_11.10,,False,0.97,2019-07-05T06:53:43Z,2009-05-15T12:50:29Z,21724
5,216.254.141.2,tor-dns-recursive.primus.ca.,CA,Edmundston,,,False,1.0,2019-07-05T06:53:43Z,2009-05-15T12:50:31Z,6407
6,137.82.1.1,hub.ubc.ca.,CA,Vancouver,none,,False,0.97,2019-07-05T06:53:43Z,2009-05-15T12:50:33Z,393249
7,194.25.0.68,resolv-f.dtag.de.,DE,,DNS,,True,1.0,2019-07-05T06:53:43Z,2009-05-15T12:50:51Z,3320
8,202.14.67.14,ns2.pacific.net.hk.,HK,,,,False,1.0,2019-07-05T06:53:44Z,2009-05-15T12:50:54Z,2706
9,202.136.162.11,dns01.ntts-idc.net.sg.,SG,,none,,False,1.0,2019-07-05T06:53:44Z,2009-05-15T12:52:29Z,17645
10,212.118.241.1,ns1.lon.pnap.net.,GB,,,,False,1.0,2019-07-05T06:53:43Z,2009-05-15T12:52:43Z,15570
11,158.43.128.72,cache0000.ns.eu.uu.net.,GB,,,,True,1.0,2019-07-05T06:53:43Z,2009-05-15T12:52:45Z,702
12,212.118.241.33,ns2.lon.pnap.net.,GB,,,,False,1.0,2019-07-05T06:53:43Z,2009-05-15T12:52:49Z,15570
